State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.62862	0.63062	0.63151	0.63268	0.63508	0.63665	0.63640	0.63670	0.63978	0.64345	0.64943	0.65614	0.66118	0.66618	0.67117	0.67627	0.68121	0.68498	0.68885	0.69076	0.69409
2	1.16205	1.15298	1.15437	1.15019	1.13832	1.13065	1.13623	1.17182	1.19276	1.20672	1.20881	1.19625	1.19765	1.18439	1.18020	1.16973	1.17113	1.17741	1.18090	1.18229	1.18020
3	2.16506	1.99046	1.99046	2.40950	2.37458	2.93330	2.72378	2.26982	2.30474	2.02538	1.53649	1.29205	1.60633	1.53649	1.39681	1.53649	1.43173	1.08253	0.94285	1.64125	1.53649
4	3.44707	3.40566	3.24004	3.02265	2.98642	2.96054	3.15722	3.09511	2.80527	2.66552	2.42744	2.57236	2.46367	2.52060	2.57236	2.59824	2.50508	2.46367	2.57236	2.57236	2.70693
5	4.39376	4.42352	4.37888	4.30946	4.21028	4.02183	3.77883	3.60527	3.48625	3.35235	3.27301	3.03001	2.99530	2.93579	3.02505	3.02505	3.07960	3.05481	2.99034	2.99034	2.95562
6	1.17421	1.11863	1.16726	1.16726	1.13947	1.27843	1.33401	1.37570	1.45213	1.57719	1.60499	1.57719	1.36181	1.32012	1.32012	1.33401	1.40349	1.40349	1.31317	1.34791	1.23674
7	1.22567	1.16886	1.16480	1.16480	1.29873	1.27844	1.41237	1.49760	1.54630	1.48136	1.42860	1.39207	1.42454	1.37990	1.42048	1.50977	1.44484	1.45701	1.57471	1.48542	1.54630
8	1.25100	1.31355	1.34035	1.44535	1.37163	1.38727	1.52130	1.56375	1.57492	1.61513	1.72235	1.68438	1.68661	1.66427	1.60619	1.51237	1.56375	1.59725	1.53694	1.55704	1.53024
9	2.17972	2.05175	1.98350	1.95791	1.93232	2.02189	1.99630	2.03043	2.12427	2.10294	1.99203	1.97071	1.74890	1.67638	1.55268	1.53988	1.46310	1.52282	1.52708	1.59960	1.51002
10	1.24663	1.22928	1.23336	1.20069	1.17006	1.15883	1.13330	1.09961	1.07715	1.05060	1.01180	1.00262	1.01487	0.98424	0.98424	0.96484	0.96892	0.96688	0.92808	0.93523	0.95769
11	1.70051	1.69221	1.70079	1.70623	1.71681	1.72768	1.71881	1.72653	1.73883	1.76743	1.80575	1.84007	1.87839	1.92072	1.94617	1.96648	1.98278	1.98879	2.00394	2.01596	2.02053
12	4.19923	4.25148	4.23549	4.23336	4.23229	4.16404	4.13738	4.08940	3.99876	3.86867	3.70019	3.52211	3.35363	3.18941	3.01453	2.87698	2.71383	2.59226	2.49309	2.36620	2.27556
