State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.66879	0.66192	0.64882	0.62967	0.59967	0.55792	0.50483	0.44804	0.40295	0.38143	0.37351	0.37222	0.38177	0.39543	0.41380	0.43546	0.45301	0.46693	0.47791	0.48746	0.49632
2	2.50353	2.48135	2.46041	2.42345	2.36554	2.25343	2.07478	1.80065	1.54499	1.37374	1.28934	1.26840	1.35895	1.53391	1.70763	1.85301	1.98792	2.06122	2.09634	2.10003	2.09819
3	3.69868	4.50006	5.20898	6.10283	7.36654	9.49328	11.40427	13.13032	12.94539	11.09605	8.72273	10.10973	12.35976	13.96253	13.53101	12.63716	11.18851	9.49328	8.22957	6.65763	5.30144
4	3.49939	4.09328	5.17142	6.96223	10.10529	14.47724	19.33801	24.00234	26.72053	34.33605	39.66736	24.51400	20.56691	17.40101	14.99804	12.12908	9.14136	6.54651	4.81966	3.72781	2.97859
5	5.69029	6.79333	8.50041	10.63646	14.05939	18.84360	24.96285	32.75855	40.90441	40.21720	38.49260	53.46681	54.71868	53.22169	48.27552	39.93268	30.58748	23.24701	17.98131	13.87992	11.05667
6	1.98697	2.23841	2.42239	2.56344	2.91300	3.36068	3.91875	4.39710	4.34804	3.18897	2.27521	2.25068	1.98084	1.84592	1.89498	1.83979	1.69874	1.69261	1.71101	1.74167	1.68034
7	1.62993	1.62993	1.55112	1.69441	1.84486	1.85919	1.90934	1.81978	1.47589	1.23230	0.97796	0.86332	0.83825	0.77018	0.81675	0.87049	1.04960	1.02811	1.02452	1.03169	0.96721
8	1.67995	1.74107	1.87515	2.03881	1.93036	1.87910	1.64446	1.41967	1.08645	0.91293	0.73941	0.68618	0.63688	0.69998	0.77096	0.99772	1.23236	1.41573	1.38813	1.38024	1.36052
9	4.61969	4.67240	4.72511	4.67616	4.20930	3.23039	2.18748	1.58884	1.33658	1.22363	1.30646	1.23869	1.37800	1.89381	3.97587	8.02704	12.03679	14.18286	14.65725	14.42382	13.46374
10	1.55093	1.45180	1.25534	1.05077	0.84531	0.69391	0.62542	0.57135	0.53260	0.52809	0.52809	0.52989	0.55783	0.59207	0.66417	0.88316	1.37069	2.03486	2.72787	3.32986	3.87056
11	1.45905	1.42699	1.38862	1.31718	1.21974	1.07333	0.91279	0.70807	0.55206	0.47810	0.45412	0.45034	0.48593	0.53742	0.60306	0.69746	0.80828	0.91758	1.00871	1.09126	1.15714
12	0.47531	0.41695	0.38683	0.35954	0.33224	0.31907	0.31624	0.30871	0.31718	0.31624	0.32095	0.32942	0.33319	0.34542	0.35766	0.36895	0.38777	0.41883	0.48189	0.54213	0.62025
