State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	70.99459	0.24219	0.54990	0.74758	0.64945	0.37353	0.53060	1.21714
2	4.98161	2.21581	1.02484	0.81655	1.20894	1.28938	2.03425	1.02325
3	0.09956	20.90350	2.95860	0.80425	1.53665	8.72299	9.23705	0.54711
4	0.67175	42.56265	5.39314	1.05458	2.42769	39.66858	14.05471	0.47840
5	0.70110	46.60740	7.73810	1.82651	3.27335	38.48941	24.29415	0.21773
6	0.50041	0.42196	1.33306	1.49642	1.60515	2.27528	2.51011	0.33476
7	0.85667	0.26631	1.28103	1.24160	1.42875	0.97799	1.32329	0.49370
8	1.55637	0.18780	1.35641	1.29827	1.72253	0.73944	1.32437	0.53612
9	0.81508	0.51377	1.87532	2.26885	1.99224	1.30650	4.91206	0.13115
10	3.40532	0.50642	1.33403	2.28800	1.01089	0.52811	1.15274	0.13284
11	12.15703	0.43328	1.65882	1.65613	1.80565	0.45414	0.91002	0.42356
12	3.26052	0.08479	5.02957	2.20269	3.70057	0.32096	0.41701	0.25475
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
