State (Emission order)	H2az	H3k4me3	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k79me2	H3k36me3	H3k9me1	H3k27me3
1	0.0015135129468769155	1.0212663629750898E-4	1.1433650451559376E-4	0.0010002009506726805	1.5727623784626322E-4	2.6190427008390053E-4	1.1193072685911944E-5	5.15383274083852E-4	0.0010885404995662211	0.004380891097320252
2	0.004919918505406641	8.470690942130624E-5	3.2997359201685894E-4	0.0014131273703675321	7.366001506828673E-4	0.002146624746924339	8.263647225289387E-5	4.4072627808193656E-4	0.0029032292894256495	0.3698042723491759
3	0.4126009657645877	0.418863775744559	0.07562208198005814	0.06171706109701722	0.4771554982024641	0.28874083740053824	0.026717578537561446	0.34274787324192363	0.2007369609709784	0.8503421794730553
4	0.7299135614465213	0.23874064631845265	0.07780161355752585	0.019151558888528885	0.3274776682322376	0.1866255854721656	0.011980844828447636	3.972425312210947E-4	7.189203511706323E-4	0.012908010770114074
5	0.6664078754098314	0.9912842007464285	0.9261533658755153	0.6606702793731307	0.8122045171355327	0.31261788370553323	0.5777670686236771	0.017503404795508267	0.0012814564450035603	0.002158549750733656
6	0.41216424450945693	0.4033366651529049	0.9079432841151105	0.9954131615829716	0.9724446960791476	0.9683499704141584	0.1624695381741083	0.0182834621948121	0.005713171629481132	8.453606677760901E-5
7	0.3550222762897655	0.03127184483908132	0.21050304928025929	0.7242547181195765	0.6422679848782473	0.9519032874133747	0.01070084467153979	0.014201644940783537	0.006572567027678895	4.0098853222422895E-4
8	0.09832430861107128	2.5703602690255065E-6	0.0045344532154849475	0.10102304869770845	0.11629620533892006	0.6942115139671874	0.012511496672575732	0.017111751514976833	0.0067590355083199175	0.0022877910474977
9	0.01968725889003992	0.13105976766187172	0.08660277307210039	0.3055848987768005	0.4759038546189423	0.8547529715839406	0.8672952312157025	0.15564099120733255	0.02714442315430408	1.8043826952625502E-4
10	9.959358811169002E-4	1.817965937276325E-4	0.0012560503176762613	0.012287194616259472	0.00422362229176083	0.02934094366815639	0.6745540315266783	0.10371501285225262	0.013913509218008959	1.7268567390938034E-4
11	0.005495368389086187	9.80089736974695E-5	4.767294611677654E-4	0.0042869313209245	2.512957914116356E-4	8.216838882877433E-4	0.010634246304157293	0.01421762630644391	0.004625803589457081	2.4499456522995204E-4
12	5.510081026044003E-4	6.801760933045156E-4	0.001224987098274592	0.012387861295568911	6.686965885490189E-4	0.006236229142139767	0.03911483896247755	0.3558543693021297	0.007223968603565724	0.0017314058839784064
