12	10	E	-6848986.133902876	50
probinit	1	1.0
probinit	2	5.854486257720212E-88
probinit	3	1.7174030642002046E-227
probinit	4	2.6126579092977442E-135
probinit	5	0.0
probinit	6	0.0
probinit	7	2.4329645224783337E-247
probinit	8	6.368282655980216E-116
probinit	9	1.2359454904653066E-307
probinit	10	8.877952988418357E-165
probinit	11	8.37466833925157E-53
probinit	12	3.696686833434993E-115
transitionprobs	1	1	0.9927351008552894
transitionprobs	1	2	0.003638658360624193
transitionprobs	1	3	6.465576931512147E-6
transitionprobs	1	4	0.0013776759752480068
transitionprobs	1	5	1.5378548090557166E-5
transitionprobs	1	6	2.128612102578134E-6
transitionprobs	1	7	6.983981615184807E-5
transitionprobs	1	8	0.0019212246630839062
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	1.7800244328574524E-4
transitionprobs	1	12	5.552514919225227E-5
transitionprobs	2	1	0.04847254914505187
transitionprobs	2	2	0.9435132295915698
transitionprobs	2	3	0.0031511661548301174
transitionprobs	2	4	0.003945755990407483
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	9.097061295968745E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	7.5929885438348116E-6
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0029436058045294623
transitionprobs	3	2	0.15681766084950408
transitionprobs	3	3	0.6633277549497527
transitionprobs	3	4	0.08867963951202494
transitionprobs	3	5	0.004469717665441653
transitionprobs	3	6	4.7824969128745144E-5
transitionprobs	3	7	4.197683611951008E-4
transitionprobs	3	8	0.0022263096825881922
transitionprobs	3	9	0.0
transitionprobs	3	10	1.7686335331687508E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	0.08089085485251817
transitionprobs	4	1	0.13622694142212485
transitionprobs	4	2	0.03012347856823233
transitionprobs	4	3	0.011829710090852841
transitionprobs	4	4	0.6372034406895971
transitionprobs	4	5	0.10844788485821946
transitionprobs	4	6	0.0018374584425135427
transitionprobs	4	7	0.003316313272610819
transitionprobs	4	8	0.015659119738930354
transitionprobs	4	9	8.441761367215891E-5
transitionprobs	4	10	6.343335448912498E-4
transitionprobs	4	11	0.054636901758355234
transitionprobs	4	12	0.0
transitionprobs	5	1	0.0012527629540231998
transitionprobs	5	2	0.0
transitionprobs	5	3	6.475113479727369E-4
transitionprobs	5	4	0.1075545384188662
transitionprobs	5	5	0.8235531870456764
transitionprobs	5	6	0.009119097848169283
transitionprobs	5	7	0.002119182887921766
transitionprobs	5	8	0.003734332114163679
transitionprobs	5	9	0.04603630428561634
transitionprobs	5	10	0.0027481850803395816
transitionprobs	5	11	0.0032348980172507793
transitionprobs	5	12	0.0
transitionprobs	6	1	4.175941737441957E-4
transitionprobs	6	2	0.0
transitionprobs	6	3	4.9382535096152286E-5
transitionprobs	6	4	0.002393212573043302
transitionprobs	6	5	0.012011681335357413
transitionprobs	6	6	0.7420080212978756
transitionprobs	6	7	0.19097781142130607
transitionprobs	6	8	0.00924892373188087
transitionprobs	6	9	0.04096576660898979
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0019275881746082548
transitionprobs	6	12	1.8148098486176993E-8
transitionprobs	7	1	0.005312243713647501
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.002319655111591491
transitionprobs	7	5	0.001559346728683082
transitionprobs	7	6	0.10967811162844457
transitionprobs	7	7	0.612476112882265
transitionprobs	7	8	0.24524417745274096
transitionprobs	7	9	0.006416475454177451
transitionprobs	7	10	1.7016473113736085E-4
transitionprobs	7	11	0.015530838445722702
transitionprobs	7	12	0.0012928738515898515
transitionprobs	8	1	0.07975181695626321
transitionprobs	8	2	0.0027250450712256492
transitionprobs	8	3	1.7574583570404033E-4
transitionprobs	8	4	0.006971045772711912
transitionprobs	8	5	0.0015040221158176517
transitionprobs	8	6	0.002311864877065639
transitionprobs	8	7	0.12703447189530584
transitionprobs	8	8	0.5961259300517818
transitionprobs	8	9	0.00466527944285282
transitionprobs	8	10	0.0020913402810282984
transitionprobs	8	11	0.16924841080039568
transitionprobs	8	12	0.007395026899847391
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	2.6929078311230313E-5
transitionprobs	9	5	0.03862571085437958
transitionprobs	9	6	0.02409664573629089
transitionprobs	9	7	0.007180087138377751
transitionprobs	9	8	0.009965954501839866
transitionprobs	9	9	0.7836815043666917
transitionprobs	9	10	0.1324478563781924
transitionprobs	9	11	6.873155415842575E-4
transitionprobs	9	12	0.003287996404332458
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	1.1928545414161028E-5
transitionprobs	10	4	6.521744068297761E-5
transitionprobs	10	5	4.955742117282748E-4
transitionprobs	10	6	0.0
transitionprobs	10	7	3.631751609011223E-6
transitionprobs	10	8	0.0012248761568384421
transitionprobs	10	9	0.03144422570482703
transitionprobs	10	10	0.9421641137086153
transitionprobs	10	11	0.017774209890439183
transitionprobs	10	12	0.00681622258984563
transitionprobs	11	1	0.0011089456209263588
transitionprobs	11	2	7.679540962158779E-5
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0031314444863432944
transitionprobs	11	5	2.074319625292368E-4
transitionprobs	11	6	8.191516037089369E-5
transitionprobs	11	7	0.0010951917155631234
transitionprobs	11	8	0.02333312954201332
transitionprobs	11	9	5.717203488936604E-5
transitionprobs	11	10	0.004921149065423476
transitionprobs	11	11	0.9595432975560746
transitionprobs	11	12	0.006443527446244757
transitionprobs	12	1	0.0010885676561575254
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0024944316520484843
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	3.6747175117116316E-4
transitionprobs	12	8	0.0033604939951078494
transitionprobs	12	9	8.598350332841785E-4
transitionprobs	12	10	0.006708725887182416
transitionprobs	12	11	0.024224407017605382
transitionprobs	12	12	0.960896067007443
emissionprobs	1	0	H2az	0	0.9984864870531232
emissionprobs	1	0	H2az	1	0.0015135129468769155
emissionprobs	1	1	H3k27ac	0	0.9989997990493272
emissionprobs	1	1	H3k27ac	1	0.0010002009506726805
emissionprobs	1	2	H3k27me3	0	0.9956191089026798
emissionprobs	1	2	H3k27me3	1	0.004380891097320252
emissionprobs	1	3	H3k36me3	0	0.9994846167259162
emissionprobs	1	3	H3k36me3	1	5.15383274083852E-4
emissionprobs	1	4	H3k4me1	0	0.9997380957299161
emissionprobs	1	4	H3k4me1	1	2.6190427008390053E-4
emissionprobs	1	5	H3k4me2	0	0.9998427237621537
emissionprobs	1	5	H3k4me2	1	1.5727623784626322E-4
emissionprobs	1	6	H3k4me3	0	0.9998978733637026
emissionprobs	1	6	H3k4me3	1	1.0212663629750898E-4
emissionprobs	1	7	H3k79me2	0	0.9999888069273142
emissionprobs	1	7	H3k79me2	1	1.1193072685911944E-5
emissionprobs	1	8	H3k9ac	0	0.9998856634954844
emissionprobs	1	8	H3k9ac	1	1.1433650451559376E-4
emissionprobs	1	9	H3k9me1	0	0.9989114595004338
emissionprobs	1	9	H3k9me1	1	0.0010885404995662211
emissionprobs	2	0	H2az	0	0.9950800814945933
emissionprobs	2	0	H2az	1	0.004919918505406641
emissionprobs	2	1	H3k27ac	0	0.9985868726296325
emissionprobs	2	1	H3k27ac	1	0.0014131273703675321
emissionprobs	2	2	H3k27me3	0	0.630195727650824
emissionprobs	2	2	H3k27me3	1	0.3698042723491759
emissionprobs	2	3	H3k36me3	0	0.9995592737219181
emissionprobs	2	3	H3k36me3	1	4.4072627808193656E-4
emissionprobs	2	4	H3k4me1	0	0.9978533752530757
